parent	category	uri	wiki
Fruit juices	Grapefruit juices	/category/grapefruit-juices	Q1138468
Grapefruit juices	Concentrated grapefruit juices	/category/concentrated-grapefruit-juices	
Grapefruit juices	Fresh grapefruit juice	/category/fresh-grapefruit-juice	
Grapefruit juices	Squeezed grapefruit juices	/category/squeezed-grapefruit-juices	
Grapefruit juices	fr:Jus de pamplemousse rose	/category/fr:jus-de-pamplemousse-rose	
Fruit juices	Lemon juice	/category/lemon-juice	Q1375049
Fruit juices	Mango juices	/category/mango-juices	
Mango juices	Concentrated mango juices	/category/concentrated-mango-juices	
Fruit juices	Multifruit juices	/category/multifruit-juices	
Multifruit juices	Concentrated multifruit juices	/category/concentrated-multifruit-juices	
Multifruit juices	Refrigerated squeezed multifruit juices	/category/refrigerated-squeezed-multifruit-juices	
Multifruit juices	Squeezed multifruit juices	/category/squeezed-multifruit-juices	
Fruit juices	Orange juices	/category/orange-juices	Q1781317
Orange juices	Concentrated orange juices	/category/concentrated-orange-juices	
Orange juices	Refrigerated squeezed orange juices	/category/refrigerated-squeezed-orange-juices	
Orange juices	Squeezed orange juices	/category/squeezed-orange-juices	
Orange juices	fr:Jus d'orange sanguine	/category/fr:jus-d-orange-sanguine	
Fruit juices	Peach juices	/category/peach-juices	
Peach juices	Concentrated peach juices	/category/concentrated-peach-juices	
Fruit juices	Pear juices	/category/pear-juices	Q15951991
Pear juices	Concentrated pear juices	/category/concentrated-pear-juices	
Pear juices	Squeezed pear juices	/category/squeezed-pear-juices	
Fruit juices	Pineapple juices	/category/pineapple-juices	Q3190226
Pineapple juices	Concentrated pineapple juices	/category/concentrated-pineapple-juices	
Pineapple juices	Refrigerated squeezed pineapple juices	/category/refrigerated-squeezed-pineapple-juices	
Pineapple juices	Squeezed pineapple juices	/category/squeezed-pineapple-juices	
Fruit juices	Plum juices	/category/plum-juices	
Plum juices	Concentrated plum juices	/category/concentrated-plum-juices	
Plum juices	Squeezed plum juices	/category/squeezed-plum-juices	
Fruit juices	Pomegranate juices	/category/pomegranate-juices	Q3567034
Pomegranate juices	Concentrated pomegranate juices	/category/concentrated-pomegranate-juices	
Pomegranate juices	Squeezed pomegranate juices	/category/squeezed-pomegranate-juices	
Fruit juices	Prune juice	/category/prune-juice	
Fruit juices	Refrigerated squeezed juices	/category/refrigerated-squeezed-juices	
Refrigerated squeezed juices	Fresh grapefruit juice	/category/fresh-grapefruit-juice	
Refrigerated squeezed juices	Refrigerated squeezed apple juices	/category/refrigerated-squeezed-apple-juices	
Refrigerated squeezed juices	Refrigerated squeezed multifruit juices	/category/refrigerated-squeezed-multifruit-juices	
Refrigerated squeezed juices	Refrigerated squeezed orange juices	/category/refrigerated-squeezed-orange-juices	
Refrigerated squeezed juices	Refrigerated squeezed pineapple juices	/category/refrigerated-squeezed-pineapple-juices	
Refrigerated squeezed juices	Refrigerated squeezed tangerine juices	/category/refrigerated-squeezed-tangerine-juices	
Fruit juices	Squeezed juices	/category/squeezed-juices	
Squeezed juices	Squeezed apple juices	/category/squeezed-apple-juices	
Squeezed juices	Squeezed blueberry juices	/category/squeezed-blueberry-juices	
Squeezed juices	Squeezed grape juices	/category/squeezed-grape-juices	
Squeezed juices	Squeezed grapefruit juices	/category/squeezed-grapefruit-juices	
Squeezed juices	Squeezed multifruit juices	/category/squeezed-multifruit-juices	
Squeezed juices	Squeezed orange juices	/category/squeezed-orange-juices	
Squeezed juices	Squeezed pear juices	/category/squeezed-pear-juices	
Squeezed juices	Squeezed pineapple juices	/category/squeezed-pineapple-juices	
Squeezed juices	Squeezed plum juices	/category/squeezed-plum-juices	
Squeezed juices	Squeezed pomegranate juices	/category/squeezed-pomegranate-juices	
Squeezed juices	Squeezed tangerine juices	/category/squeezed-tangerine-juices	
Fruit juices	Strawberry juice	/category/strawberry-juice	Q1068602
Fruit juices	Tangerine juices	/category/tangerine-juices	Q40866122
Tangerine juices	Concentrated tangerine juices	/category/concentrated-tangerine-juices	
Tangerine juices	Refrigerated squeezed tangerine juices	/category/refrigerated-squeezed-tangerine-juices	
Tangerine juices	Squeezed tangerine juices	/category/squeezed-tangerine-juices	
Fruit juices and nectars	Fruit nectars	/category/fruit-nectars	
Fruit nectars	Apple nectars	/category/apple-nectars	
Fruit nectars	Apricot nectars	/category/apricot-nectars	
Fruit nectars	Banana nectars	/category/banana-nectars	
Fruit nectars	Blueberry nectars	/category/blueberry-nectars	
Fruit nectars	Cherry nectars	/category/cherry-nectars	
Fruit nectars	Grape nectars	/category/grape-nectars	
Fruit nectars	Grapefruit nectars	/category/grapefruit-nectars	
Fruit nectars	Guava nectars	/category/guava-nectars	
Fruit nectars	Mango nectars	/category/mango-nectars	
Fruit nectars	Melon nectars	/category/melon-nectars	
Fruit nectars	Multifruit nectars	/category/multifruit-nectars	
Fruit nectars	Orange nectars	/category/orange-nectars	
Fruit nectars	Passion fruit nectars	/category/passion-fruit-nectars	
Fruit nectars	Peach nectars	/category/peach-nectars	
Fruit nectars	Pear nectars	/category/pear-nectars	
Fruit nectars	Pineapple nectars	/category/pineapple-nectars	
Fruit nectars	Pomegranate nectars	/category/pomegranate-nectars	
Fruit nectars	Raspberry nectars	/category/raspberry-nectars	
Fruit nectars	Strawberry nectars	/category/strawberry-nectars	
Fruit nectars	Tangerine nectars	/category/tangerine-nectars	
Fruit-based beverages	Fruit sodas	/category/fruit-sodas	
Fruit sodas	de:Cola Mix	/category/de:cola-mix	Q1422578
Fruit sodas	Apple soft drinks	/category/apple-soft-drinks	
Fruit sodas	Lemon soft drinks	/category/lemon-soft-drinks	
Lemon soft drinks	Light lemon soft drinks	/category/light-lemon-soft-drinks	
Fruit sodas	Light fruit sodas	/category/light-fruit-sodas	
Light fruit sodas	Light lemon soft drinks	/category/light-lemon-soft-drinks	
Light fruit sodas	Light orange soft drinks	/category/light-orange-soft-drinks	
Fruit sodas	Orange soft drinks	/category/orange-soft-drinks	Q17069317
Orange soft drinks	Light orange soft drinks	/category/light-orange-soft-drinks	
Fruit sodas	Sodas with exotic fruits	/category/sodas-with-exotic-fruits	
Plant-based beverages	Fruit juice and soy drinks	/category/fruit-juice-and-soy-drinks	
Fruit juice and soy drinks	Apple juice and soy drinks	/category/apple-juice-and-soy-drinks	
Fruit juice and soy drinks	Multifruit juice and soy drinks	/category/multifruit-juice-and-soy-drinks	
Fruit juice and soy drinks	Orange juice and soy drinks	/category/orange-juice-and-soy-drinks	
Fruit juice and soy drinks	Peach juice and soy drinks	/category/peach-juice-and-soy-drinks	
Fruit juice and soy drinks	Pineapple juice and soy drinks	/category/pineapple-juice-and-soy-drinks	
Plant-based beverages	Herbal teas	/category/herbal-teas	Q379932
Herbal teas	Absinthium	/category/absinthium	Q25686
Herbal teas	Alexandrian senna	/category/alexandrian-senna	Q132675
Herbal teas	Anise	/category/anise	Q28692
Herbal teas	Boldo	/category/boldo	Q833994
Herbal teas	Chamomile	/category/chamomile	Q14169150
Chamomile	German chamomile	/category/german-chamomile	Q28437
Chamomile	Roman chamomile	/category/roman-chamomile	Q5723577
Herbal teas	Common nettle	/category/common-nettle	Q155909
Herbal teas	Coriander seeds	/category/coriander-seeds	
Herbal teas	Cotton lavender	/category/cotton-lavender	Q1543811
Herbal teas	Dandelion	/category/dandelion	Q131219
Herbal teas	Devil's claw	/category/devil-s-claw	Q386675
Herbal teas	Elderberry flowers	/category/elderberry-flowers	
Herbal teas	Eucalyptus	/category/eucalyptus	Q45669
Herbal teas	Fennel seeds	/category/fennel-seeds	
Herbal teas	Field horsetail	/category/field-horsetail	Q107592
Herbal teas	Fruit teas	/category/fruit-teas	Q744457
Fruit teas	Citrus fruit teas	/category/citrus-fruit-teas	
Fruit teas	Red fruit teas	/category/red-fruit-teas	
Herbal teas	Ginkgo	/category/ginkgo	Q43284
Herbal teas	Herbal tea beverages	/category/herbal-tea-beverages	
Herbal teas	Herbal tea blends	/category/herbal-tea-blends	
Herbal tea blends	Good nightrest tea blends	/category/good-nightrest-tea-blends	
Herbal tea blends	Verbena Peppermint	/category/verbena-peppermint	
Herbal tea blends	Weight-loss tea blends	/category/weight-loss-tea-blends	
Weight-loss tea blends	Weight-loss Teas	/category/weight-loss-teas	
Herbal teas	Herbal teas in tea bags	/category/herbal-teas-in-tea-bags	
Herbal teas	Hibiscus	/category/hibiscus	Q157124
Hibiscus	Roselle	/category/roselle	Q319390
Herbal teas	Honeybush	/category/honeybush	Q1627092
Herbal teas	Hyssop	/category/hyssop	Q137931
Herbal teas	Juniper berries	/category/juniper-berries	Q3251025
Herbal teas	Lavender	/category/lavender	Q42081
Herbal teas	Lemon balm	/category/lemon-balm	Q148396
Herbal teas	Limeflower tea	/category/limeflower-tea	Q127849
Limeflower tea	Large-leaved lime	/category/large-leaved-lime	Q156831
Limeflower tea	Small-leaved lime	/category/small-leaved-lime	Q158746
Herbal teas	Liquorice	/category/liquorice	Q257106
Herbal teas	Mallow	/category/mallow	Q156835
Herbal teas	Marsh-mallow	/category/marsh-mallow	Q158496
Herbal teas	Maypop	/category/maypop	Q128939
Herbal teas	Midland hawthorn	/category/midland-hawthorn	Q159553
Herbal teas	Olive leaves	/category/olive-leaves	Q7087231
Herbal teas	Orange blossom	/category/orange-blossom	Q1152711
Herbal teas	Perforate St John's-wort	/category/perforate-st-john-s-wort	Q158289
Herbal teas	Ribwort Plantain	/category/ribwort-plantain	Q157408
Herbal teas	Rock teas	/category/rock-teas	Q5927170
Herbal teas	Rooibos	/category/rooibos	Q272181
Herbal teas	Rose hip	/category/rose-hip	
Herbal teas	Rough bindweed	/category/rough-bindweed	Q161119
Herbal teas	Savory	/category/savory	Q22858
Savory	Summer savory	/category/summer-savory	Q157283
Savory	Winter savory	/category/winter-savory	Q160186
Herbal teas	Star anise	/category/star-anise	Q1760637
Herbal teas	Stevia leaves	/category/stevia-leaves	
Stevia leaves	Fresh stevia	/category/fresh-stevia	
Stevia leaves	Ground dried stevia	/category/ground-dried-stevia	
Stevia leaves	Potted stevia	/category/potted-stevia	
Herbal teas	Thyme tea bags	/category/thyme-tea-bags	
Herbal teas	Valerian	/category/valerian	Q157819
Herbal teas	Verbena family	/category/verbena-family	Q156960
Verbena family	Lemon verbena	/category/lemon-verbena	Q206532
Lemon verbena	Fresh lemon verbena	/category/fresh-lemon-verbena	
Lemon verbena	Ground dried lemon verbena	/category/ground-dried-lemon-verbena	
Verbena family	Vervains	/category/vervains	Q165290
Vervains	Brazilian verbena	/category/brazilian-verbena	Q3279023
Vervains	Common vervain	/category/common-vervain	Q161417
Herbal teas	White nettle	/category/white-nettle	Q157626
Herbal teas	Yarrow	/category/yarrow	Q25408
Plant-based beverages	Instant chicory	/category/instant-chicory	
Plant-based beverages	Juices and nectars	/category/juices-and-nectars	
Juices and nectars	Vegetable juices	/category/vegetable-juices	Q1501257
Vegetable juices	Carrot juices	/category/carrot-juices	Q1190074
Carrot juices	Concentrated carrot juices	/category/concentrated-carrot-juices	
Vegetable juices	Tomato juices	/category/tomato-juices	Q787325
Tomato juices	Concentrated tomato juices	/category/concentrated-tomato-juices	
Vegetable juices	fr:Jus de betterave	/category/fr:jus-de-betterave	
Plant-based beverages	Plant milks	/category/plant-milks	Q2640574
Plant milks	Cereal milks	/category/cereal-milks	Q1754817
Cereal milks	Amaranth milks	/category/amaranth-milks	
Cereal milks	Barley milks	/category/barley-milks	
Cereal milks	Buckwheat milks	/category/buckwheat-milks	
Cereal milks	Canary grass milks	/category/canary-grass-milks	
Cereal milks	Maize milks	/category/maize-milks	
Cereal milks	Millet milks	/category/millet-milks	
Cereal milks	Oat milks	/category/oat-milks	
Cereal milks	Quinoa milks	/category/quinoa-milks	
Cereal milks	Rice milks	/category/rice-milks	Q715187
Rice milks	Cocoa rice milks	/category/cocoa-rice-milks	
Rice milks	Natural rice milks	/category/natural-rice-milks	
Rice milks	Vanilla rice milks	/category/vanilla-rice-milks	
Cereal milks	Sesame milks	/category/sesame-milks	
Cereal milks	Teff milks	/category/teff-milks	
Cereal milks	Wheat milks	/category/wheat-milks	
Wheat milks	Khorasan wheat milks	/category/khorasan-wheat-milks	
Wheat milks	Spelt milks	/category/spelt-milks	
Plant milks	Coconut milks	/category/coconut-milks	Q841779
Plant milks	Hemp milks	/category/hemp-milks	Q13099103
Plant milks	Legume milks	/category/legume-milks	
Legume milks	Soy milks	/category/soy-milks	Q192199
Soy milks	Chocolate soy milks	/category/chocolate-soy-milks	
Soy milks	Coffee soy milks	/category/coffee-soy-milks	
Soy milks	Sweetened natural soy milks	/category/sweetened-natural-soy-milks	
Soy milks	Unsweetened natural soy milks	/category/unsweetened-natural-soy-milks	
Soy milks	Vanilla soy milks	/category/vanilla-soy-milks	
Plant milks	Mixed plant milks	/category/mixed-plant-milks	
Plant milks	Nut milks	/category/nut-milks	
Nut milks	Almond milks	/category/almond-milks	Q975953
Nut milks	Chestnut milks	/category/chestnut-milks	
Nut milks	Hazelnut milks	/category/hazelnut-milks	
Nut milks	Macadamia nut milks	/category/macadamia-nut-milks	
Nut milks	Walnut milks	/category/walnut-milks	
Plant milks	Tigernut milks	/category/tigernut-milks	
Tigernut milks	Horchatas de chufa	/category/horchatas-de-chufa	Q1587937
Horchatas de chufa	Frozen horchatas de chufa	/category/frozen-horchatas-de-chufa	
Plant-based beverages	Smoothies	/category/smoothies	Q13290
Smoothies	Fruit smoothies	/category/fruit-smoothies	
Plant-based beverages	Teas	/category/teas	Q6097
Teas	Black teas	/category/black-teas	Q203415
Black teas	Flavored black teas	/category/flavored-black-teas	
Flavored black teas	Bergamot flavored black teas	/category/bergamot-flavored-black-teas	
Flavored black teas	Lemon flavored black teas	/category/lemon-flavored-black-teas	
Teas	Ceylan teas	/category/ceylan-teas	
Teas	Chaï teas	/category/chai-teas	
Teas	Decaffeinated teas	/category/decaffeinated-teas	
Teas	Fermented teas	/category/fermented-teas	Q16241634
Teas	Flavored teas	/category/flavored-teas	
Flavored teas	Teas with bergamot	/category/teas-with-bergamot	
Teas with bergamot	Bergamot flavored black teas	/category/bergamot-flavored-black-teas	
Teas	Green teas	/category/green-teas	Q484083
Green teas	Chinese green teas	/category/chinese-green-teas	
Chinese green teas	Long Jing green teas	/category/long-jing-green-teas	Q1069130
Chinese green teas	Maojian teas	/category/maojian-teas	Q10888066
Green teas	Japanese green teas	/category/japanese-green-teas	
Japanese green teas	Bancha teas	/category/bancha-teas	Q789960
Japanese green teas	Genmaicha teas	/category/genmaicha-teas	Q519365
Japanese green teas	Roasted Green teas	/category/roasted-green-teas	
Japanese green teas	Sencha teas	/category/sencha-teas	Q1334390
Sencha teas	Fukuju teas	/category/fukuju-teas	
Green teas	Roasted Japanese green teas	/category/roasted-japanese-green-teas	
Roasted Japanese green teas	fr:Thés Hojicha	/category/fr:thes-hojicha	Q1652744
Teas	Iced teas	/category/iced-teas	Q348958
Iced teas	Iced teas with mango flavor	/category/iced-teas-with-mango-flavor	
Iced teas	Iced teas with mint flavor	/category/iced-teas-with-mint-flavor	
Iced teas	Iced teas with raspberry flavor	/category/iced-teas-with-raspberry-flavor	
Iced teas	Lemon flavored iced teas	/category/lemon-flavored-iced-teas	
Iced teas	Light iced teas	/category/light-iced-teas	
Iced teas	Peach flavored iced teas	/category/peach-flavored-iced-teas	
Teas	Lemon teas	/category/lemon-teas	
Lemon teas	Lemon flavored black teas	/category/lemon-flavored-black-teas	
Teas	Mint teas	/category/mint-teas	Q937101
Mint teas	Green teas with mint	/category/green-teas-with-mint	
Teas	Oolong teas	/category/oolong-teas	Q231587
Teas	Tea bags	/category/tea-bags	
Teas	Tea-based beverages	/category/tea-based-beverages	
Tea-based beverages	Kombuchas	/category/kombuchas	
Teas	Vanilla teas	/category/vanilla-teas	
Teas	White teas	/category/white-teas	Q238306
White teas	Bai Mudan teas	/category/bai-mudan-teas	Q788624
White teas	Baihao Yinzhen teas	/category/baihao-yinzhen-teas	Q1194937
White teas	Shoumei teas	/category/shoumei-teas	Q4526292
Teas	Yellow teas	/category/yellow-teas	Q824529
Plant-based beverages	Vegetable-based beverages	/category/vegetable-based-beverages	
Plant-based foods and beverages	Plant-based foods	/category/plant-based-foods	
Plant-based foods	Canned plant-based foods	/category/canned-plant-based-foods	
Canned plant-based foods	Canned cereals	/category/canned-cereals	
Canned cereals	Canned corn	/category/canned-corn	
Canned corn	Canned sweet corn	/category/canned-sweet-corn	
Canned plant-based foods	Canned fruits	/category/canned-fruits	
Canned fruits	Canned fruits in juice	/category/canned-fruits-in-juice	
Canned fruits in juice	Pineapple in juice	/category/pineapple-in-juice	
Canned fruits	Canned pineapples	/category/canned-pineapples	
Canned fruits	Fruits in syrup	/category/fruits-in-syrup	
Fruits in syrup	Apricots in syrup	/category/apricots-in-syrup	
Fruits in syrup	Canned mixed fruit in syrup	/category/canned-mixed-fruit-in-syrup	
Fruits in syrup	Cherries in syrup	/category/cherries-in-syrup	
Fruits in syrup	Grapefruits in syrup	/category/grapefruits-in-syrup	
Fruits in syrup	Lychees in syrup	/category/lychees-in-syrup	
Fruits in syrup	Mangoes in syrup	/category/mangoes-in-syrup	
Fruits in syrup	Peaches in syrup	/category/peaches-in-syrup	
Fruits in syrup	Pears in syrup	/category/pears-in-syrup	
Fruits in syrup	Pineapple in syrup	/category/pineapple-in-syrup	
Canned plant-based foods	Canned hearts of palm	/category/canned-hearts-of-palm	Q743144
Canned plant-based foods	Canned legumes	/category/canned-legumes	
Canned legumes	Canned broad beans	/category/canned-broad-beans	
Canned legumes	Canned chickpeas	/category/canned-chickpeas	
Canned legumes	Canned common beans	/category/canned-common-beans	
Canned common beans	Canned flageolet beans	/category/canned-flageolet-beans	
Canned common beans	Canned kidney common beans	/category/canned-kidney-common-beans	
Canned common beans	Canned white common beans	/category/canned-white-common-beans	
Canned common beans	fr:Haricots noirs en conserve	/category/fr:haricots-noirs-en-conserve	
Canned legumes	Canned green beans	/category/canned-green-beans	
Canned green beans	Canned flat green beans	/category/canned-flat-green-beans	
Canned legumes	Canned green pigeon peas	/category/canned-green-pigeon-peas	
Canned legumes	Canned lentils	/category/canned-lentils	
Canned legumes	Canned peas	/category/canned-peas	Q4145855
Canned legumes	Canned peas and carrots	/category/canned-peas-and-carrots	
Canned legumes	Canned scarlet runner beans	/category/canned-scarlet-runner-beans	
Canned legumes	Legume pickles	/category/legume-pickles	
Legume pickles	Pickled lupin beans	/category/pickled-lupin-beans	
Canned legumes	fr:Haricots beurre en conserve	/category/fr:haricots-beurre-en-conserve	
Canned plant-based foods	Canned mushrooms	/category/canned-mushrooms	
Canned mushrooms	Canned bloody milk cap	/category/canned-bloody-milk-cap	
Canned mushrooms	Canned champignon mushrooms	/category/canned-champignon-mushrooms	
Canned champignon mushrooms	Canned quartered champignon mushrooms	/category/canned-quartered-champignon-mushrooms	
Canned champignon mushrooms	Canned sliced champignon mushrooms	/category/canned-sliced-champignon-mushrooms	
Canned champignon mushrooms	Canned whole champignon mushrooms	/category/canned-whole-champignon-mushrooms	
Canned mushrooms	Canned chanterelles	/category/canned-chanterelles	
Canned mushrooms	Canned Hygrophorus latitabundus	/category/canned-hygrophorus-latitabundus	
Canned mushrooms	Canned king trumpet mushrooms	/category/canned-king-trumpet-mushrooms	
Canned mushrooms	Canned mixed mushrooms	/category/canned-mixed-mushrooms	
Canned mushrooms	Canned nameko mushrooms	/category/canned-nameko-mushrooms	
Canned mushrooms	Canned oyster mushrooms	/category/canned-oyster-mushrooms	
Canned mushrooms	Canned paddy straw mushrooms	/category/canned-paddy-straw-mushrooms	
Canned mushrooms	Canned porcini mushrooms	/category/canned-porcini-mushrooms	
Canned mushrooms	Canned red pine mushrooms	/category/canned-red-pine-mushrooms	
Canned mushrooms	Canned shiitake mushrooms	/category/canned-shiitake-mushrooms	
Canned mushrooms	Canned truffles	/category/canned-truffles	
Canned plant-based foods	Canned nuts	/category/canned-nuts	
Canned nuts	Chestnuts in syrup	/category/chestnuts-in-syrup	
Canned plant-based foods	Canned seaweeds	/category/canned-seaweeds	
Canned seaweeds	Canned mixed seaweeds	/category/canned-mixed-seaweeds	
Canned seaweeds	Canned sea spaghetti seaweeds	/category/canned-sea-spaghetti-seaweeds	
Canned seaweeds	Canned wakame seaweeds	/category/canned-wakame-seaweeds	
Canned seaweeds	Seaweed spread	/category/seaweed-spread	
Canned plant-based foods	Canned sprouts	/category/canned-sprouts	
Canned sprouts	Canned legume sprouts	/category/canned-legume-sprouts	
Canned legume sprouts	Canned alfalfa sprouts	/category/canned-alfalfa-sprouts	
Canned legume sprouts	Canned mung bean sprouts	/category/canned-mung-bean-sprouts	
Canned plant-based foods	Canned vegetables	/category/canned-vegetables	
Canned vegetables	Canned artichokes	/category/canned-artichokes	
Canned vegetables	Canned asparagus	/category/canned-asparagus	
Canned asparagus	Canned green asparagus	/category/canned-green-asparagus	
Canned asparagus	Canned white asparagus	/category/canned-white-asparagus	
Canned vegetables	Canned beet	/category/canned-beet	
Canned vegetables	Canned broad beans	/category/canned-broad-beans	
Canned vegetables	Canned Brussels sprouts	/category/canned-brussels-sprouts	
Canned vegetables	Canned cabbage	/category/canned-cabbage	
Canned vegetables	Canned carrots	/category/canned-carrots	
Canned vegetables	Canned cauliflower	/category/canned-cauliflower	
Canned vegetables	Canned celery	/category/canned-celery	
Canned vegetables	Canned chards	/category/canned-chards	
Canned vegetables	Canned green pigeon peas	/category/canned-green-pigeon-peas	
Canned vegetables	Canned leeks	/category/canned-leeks	
Canned vegetables	Canned peas	/category/canned-peas	Q4145855
Canned vegetables	Canned peas and carrots	/category/canned-peas-and-carrots	
Canned vegetables	Canned peppers	/category/canned-peppers	
Canned peppers	Canned red peppers	/category/canned-red-peppers	
Canned vegetables	Canned potatoes	/category/canned-potatoes	
Canned vegetables	Canned salsifis	/category/canned-salsifis	
Canned vegetables	Canned spinachs	/category/canned-spinachs	
Canned vegetables	Canned tomatoes	/category/canned-tomatoes	
Canned tomatoes	Peeled tomatoes	/category/peeled-tomatoes	
Peeled tomatoes	fr:Chair de tomates	/category/fr:chair-de-tomates	
Canned vegetables	Vegetable paste	/category/vegetable-paste	
Vegetable paste	Eggplant caviar	/category/eggplant-caviar	Q21856516
Vegetable paste	Squash caviar	/category/squash-caviar	Q21856516
Canned vegetables	Vegetable pickles	/category/vegetable-pickles	
Vegetable pickles	Mixed vegetable pickles	/category/mixed-vegetable-pickles	Q777487
Mixed vegetable pickles	Acar	/category/acar	Q2141042
Acar	Atjar tjampoer	/category/atjar-tjampoer	
Vegetable pickles	Pickled beets	/category/pickled-beets	
Vegetable pickles	Pickled carrots	/category/pickled-carrots	
Vegetable pickles	Pickled cucumbers	/category/pickled-cucumbers	Q1211297
Pickled cucumbers	Gherkins	/category/gherkins	Q1365891
Gherkins	Extra-fine gherkins	/category/extra-fine-gherkins	
Gherkins	Pickled gherkins	/category/pickled-gherkins	
Gherkins	fr:Cornichons aigres-doux	/category/fr:cornichons-aigres-doux	
Gherkins	fr:Cornichons malossol	/category/fr:cornichons-malossol	
Vegetable pickles	Pickled eggplants	/category/pickled-eggplants	
Vegetable pickles	Pickled garlic	/category/pickled-garlic	
Vegetable pickles	Pickled onions	/category/pickled-onions	
Vegetable pickles	Pickled peppers	/category/pickled-peppers	
Pickled peppers	Pickled guindilla peppers	/category/pickled-guindilla-peppers	
Canned vegetables	fr:Endives en conserve	/category/fr:endives-en-conserve	
Canned vegetables	fr:Haricots beurre en conserve	/category/fr:haricots-beurre-en-conserve	
Canned vegetables	fr:Macédoines de légumes en conserve	/category/fr:macedoines-de-legumes-en-conserve	
Plant-based foods	Cereals and potatoes	/category/cereals-and-potatoes	
Cereals and potatoes	Breads	/category/breads	Q7802
Breads	Baguettes	/category/baguettes	Q208172
Baguettes	fr:Baguettes de tradition française	/category/fr:baguettes-de-tradition-francaise	
Breads	Bread crumbs	/category/bread-crumbs	Q658413
Bread crumbs	Panko	/category/panko	Q1820454
Bread crumbs	Wheat crumbs	/category/wheat-crumbs	
Breads	Breadsticks	/category/breadsticks	Q514467
Breads	Brown breads	/category/brown-breads	Q940999
Breads	Buns	/category/buns	
Breads	Crispbreads	/category/crispbreads	Q251981
Breads	Croutons	/category/croutons	Q1197400
Breads	Flatbreads	/category/flatbreads	Q666242
Flatbreads	Papadum	/category/papadum	Q918148
Flatbreads	Pitas	/category/pitas	Q211340
Flatbreads	Wheat flatbreads	/category/wheat-flatbreads	Q10516678
Breads	Gluten-free breads	/category/gluten-free-breads	
Gluten-free breads	Gluten-free sliced breads	/category/gluten-free-sliced-breads	
Breads	Pains de campagne	/category/pains-de-campagne	Q3360595
Breads	Pre-baked breads	/category/pre-baked-breads	
Breads	Rye-and-wheat breads	/category/rye-and-wheat-breads	
Rye-and-wheat breads	Darnitsky bread	/category/darnitsky-bread	
Breads	Rye breads	/category/rye-breads	Q3893120
Breads	Sliced breads	/category/sliced-breads	Q134152
Sliced breads	English bread without crust	/category/english-bread-without-crust	
Sliced breads	Gluten-free sliced breads	/category/gluten-free-sliced-breads	
Sliced breads	Sliced breads with cereals	/category/sliced-breads-with-cereals	
Sliced breads	Wholemeal English bread	/category/wholemeal-english-bread	
Breads	Special breads	/category/special-breads	
Special breads	Bagel breads	/category/bagel-breads	Q272502
Special breads	English muffins	/category/english-muffins	Q429483
